"pessoa_idade";"salario_ano";"propriedade_sit";"ano_trabalhado";"motivo_emprestimo";"pontuacao_emprestimos";"vl_total";"tx_juros";"inadimplencia";"tx_renda_divida";"hst_inadimplencia";"hst_primeiro_credito"
25;55044;"Alugada";4;"Empreendimento";"E";18250;17.56;"1";0.33;"0";2
26;70000;"Alugada";2;"Pagamento de débitos";"B";10000;9.45;"0";0.14;"0";3
24;26400;"Alugada";4;"Educativo";"A";8875;6.62;"1";0.34;"0";3
22;0;"Alugada";3;"Pagamento de débitos";"B";1000;0.0;"";0.03;"0";10
25;24000;"Hipotecada";0;"Pagamento de débitos";"A";5800;5.99;"0";0.24;"0";3
22;75600;"Hipotecada";6;"Pessoal";"A";10675;6.62;"0";0.14;"0";3
23;30000;"Alugada";0;"Médico";"C";8000;13.49;"0";0.27;"1";2
23;40000;"Hipotecada";6;"Médico";"B";13200;0.0;"0";0.33;"0";4
29;58800;"Hipotecada";0;"Empreendimento";"B";11400;10.99;"0";0.19;"0";9
35;30000;"Hipotecada";2;"Educativo";"A";3300;5.99;"0";0.11;"0";6
24;87663;"Hipotecada";5;"Melhora do lar";"B";14400;0.0;"0";0.16;"0";2
22;40058;"Hipotecada";5;"Empreendimento";"B";6000;9.91;"0";0.15;"0";2
24;108000;"Hipotecada";1;"Melhora do lar";"C";18000;12.53;"0";0.17;"1";3
32;80000;"Alugada";1;"Médico";"B";6400;10.99;"0";0.08;"0";10
31;140000;"Hipotecada";2;"Melhora do lar";"B";11000;10.0;"0";0.08;"0";8
23;92111;"Alugada";7;"Médico";"F";35000;20.25;"1";0.32;"0";4
30;70000;"Hipotecada";14;"Educativo";"B";8000;9.91;"0";0.11;"0";5
27;35000;"Alugada";3;"Médico";"B";10000;9.88;"0";0.29;"0";8
31;121000;"Hipotecada";15;"Pagamento de débitos";"C";25000;12.73;"0";0.21;"1";9
44;24300;"Alugada";0;"Empreendimento";"D";9750;16.77;"1";0.4;"0";15
21;22000;"Própria";2;"Pagamento de débitos";"D";4000;15.05;"0";0.18;"0";4
28;63000;"Hipotecada";7;"Educativo";"C";8575;13.49;"0";0.14;"0";8
28;150000;"Hipotecada";12;"Melhora do lar";"B";15000;11.89;"0";0.1;"0";9
23;24000;"Hipotecada";1;"Educativo";"B";5600;9.63;"0";0.23;"0";3
22;47472;"Hipotecada";6;"Empreendimento";"B";20000;11.83;"0";0.42;"0";3
22;46968;"Alugada";1;"Pessoal";"C";8500;0.0;"1";0.18;"0";4
23;63150;"Hipotecada";7;"Médico";"B";12000;9.91;"0";0.19;"0";2
39;34000;"Hipotecada";1;"Empreendimento";"B";5200;9.76;"0";0.15;"0";16
44;49510;"Hipotecada";5;"Melhora do lar";"B";4000;10.62;"0";0.08;"0";14
28;41500;"Alugada";3;"Médico";"D";11000;15.33;"1";0.27;"1";5
24;79631;"Alugada";8;"Pessoal";"D";25000;15.7;"1";0.31;"1";2
27;80000;"Alugada";3;"Educativo";"A";20000;7.49;"0";0.25;"0";9
26;72000;"Hipotecada";10;"Educativo";"A";4000;9.32;"0";0.06;"0";4
40;55182;"Alugada";0;"Empreendimento";"A";6000;6.99;"0";0.11;"0";13
23;24000;"Alugada";1;"Empreendimento";"B";14075;0.0;"1";0.59;"0";3
23;160000;"Hipotecada";7;"Pagamento de débitos";"A";15000;7.91;"0";0.09;"0";4
25;60000;"Própria";9;"Melhora do lar";"C";1400;14.22;"0";0.02;"1";3
21;12000;"Alugada";3;"Educativo";"B";1600;10.59;"1";0.13;"0";2
23;50508;"Própria";8;"Pessoal";"B";7500;10.83;"0";0.15;"0";4
0;96000;"Hipotecada";1;"Empreendimento";"B";4000;6.92;"0";0.0;"0";4
23;24000;"Hipotecada";1;"Pagamento de débitos";"D";2800;16.07;"1";0.12;"0";3
28;73000;"Hipotecada";11;"Educativo";"B";15000;0.0;"0";0.21;"0";6
25;45000;"Alugada";0;"Empreendimento";"C";10000;12.98;"0";0.22;"1";2
22;75000;"Alugada";1;"Empreendimento";"A";19200;0.0;"0";0.26;"0";2
40;550000;"Hipotecada";5;"Médico";"B";8000;10.75;"0";0.01;"0";14
29;62000;"Hipotecada";5;"Pagamento de débitos";"A";10000;5.99;"0";0.16;"0";8
30;150000;"Alugada";3;"Pessoal";"E";25000;17.56;"0";0.17;"0";5
33;102996;"Hipotecada";4;"Pagamento de débitos";"A";6000;0.0;"0";0.06;"0";8
26;88000;"Alugada";2;"Empreendimento";"D";25000;15.65;"1";0.28;"0";3
23;160000;"Hipotecada";5;"Empreendimento";"A";35000;7.66;"0";0.22;"0";3
26;56000;"Alugada";4;"Pessoal";"A";7000;9.07;"0";0.13;"0";3
33;100000;"Hipotecada";1;"Melhora do lar";"B";25000;10.39;"0";0.25;"0";8
23;21600;"Alugada";2;"Médico";"D";6000;14.42;"1";0.28;"0";4
21;29004;"Alugada";5;"Médico";"C";11000;14.22;"1";0.38;"0";2
50;102031;"Hipotecada";9;"Melhora do lar";"D";12000;14.96;"0";0.12;"1";11
36;15000;"Alugada";0;"Pessoal";"C";5000;10.59;"1";0.33;"0";11
24;125000;"Própria";3;"Melhora do lar";"B";2000;15.7;"";0.03;"";6
24;77000;"Alugada";6;"Médico";"B";12000;11.49;"0";0.16;"0";4
32;25000;"Outros";3;"Pagamento de débitos";"A";11200;7.88;"1";0.45;"0";5
24;40800;"Alugada";0;"Médico";"B";7000;11.86;"0";0.17;"0";2
26;68000;"Alugada";3;"Educativo";"D";10000;15.05;"0";0.15;"0";4
23;34000;"Alugada";2;"Pagamento de débitos";"D";6000;14.09;"1";0.18;"1";4
37;89000;"Hipotecada";3;"Educativo";"A";5000;6.91;"0";0.06;"0";15
22;30000;"Alugada";1;"Pagamento de débitos";"E";6400;16.0;"1";0.21;"0";3
27;66300;"Alugada";1;"Médico";"D";9600;0.0;"1";0.12;"0";7
30;58000;"Hipotecada";2;"Melhora do lar";"A";13200;0.0;"0";0.23;"0";5
26;27983;"Hipotecada";7;"Empreendimento";"A";6000;7.88;"0";0.21;"0";3
22;52700;"Hipotecada";2;"Educativo";"A";5000;9.63;"0";0.09;"0";4
27;48000;"Alugada";2;"Pessoal";"C";25000;10.59;"1";0.52;"0";7
28;9081;"Alugada";0;"Melhora do lar";"B";3000;10.25;"1";0.33;"0";6
30;155000;"Alugada";9;"Pagamento de débitos";"A";6000;7.14;"0";0.04;"0";10
36;34000;"Alugada";5;"Médico";"C";5500;12.29;"0";0.16;"0";17
25;39000;"Alugada";2;"Empreendimento";"C";8500;13.23;"1";0.22;"1";4
29;87000;"Hipotecada";6;"Empreendimento";"A";4800;8.94;"0";0.06;"0";5
27;50000;"Alugada";5;"Médico";"C";8000;13.43;"0";0.16;"0";10
29;40000;"Hipotecada";3;"Médico";"A";6600;8.0;"0";0.17;"0";10
22;100000;"Hipotecada";3;"Empreendimento";"B";12000;11.11;"0";0.12;"0";3
22;66000;"Hipotecada";0;"Educativo";"A";6000;7.9;"0";0.09;"0";3
21;52000;"Alugada";5;"Médico";"B";12500;0.0;"0";0.24;"0";3
35;99800;"Hipotecada";9;"Pessoal";"A";8000;7.14;"0";0.08;"0";9
21;34500;"Alugada";2;"Melhora do lar";"D";11500;15.31;"1";0.33;"0";2
25;48000;"Hipotecada";8;"Pessoal";"A";2250;8.49;"1";0.05;"0";3
38;35000;"Alugada";6;"Pessoal";"B";5000;9.99;"0";0.14;"0";14
43;34000;"Hipotecada";4;"Melhora do lar";"A";9800;0.0;"0";0.29;"0";17
26;42000;"Hipotecada";4;"Médico";"B";15000;11.26;"0";0.36;"0";4
28;48000;"Alugada";0;"Educativo";"B";10000;10.08;"0";0.21;"0";6
22;27996;"Hipotecada";4;"Médico";"D";3250;15.21;"1";0.12;"0";2
28;66920;"Alugada";12;"Pagamento de débitos";"C";5000;14.26;"0";0.07;"1";8
0;50000;"Própria";6;"Educativo";"B";2000;7.29;"0";0.08;"";6
36;54000;"Alugada";2;"Melhora do lar";"C";2225;10.59;"1";0.04;"0";14
34;67392;"Hipotecada";0;"Pessoal";"";15000;0.0;"0";0.13;"0";7
32;84996;"Hipotecada";5;"Médico";"B";20000;8.88;"0";0.24;"0";5
22;48000;"Hipotecada";6;"Educativo";"A";5000;7.88;"0";0.1;"0";2
32;45000;"Hipotecada";0;"Pessoal";"B";7200;12.69;"0";0.16;"0";5
28;114000;"Hipotecada";12;"Empreendimento";"E";8000;18.64;"0";0.07;"0";10
26;150000;"Hipotecada";3;"Empreendimento";"B";25000;9.99;"0";0.17;"0";4
26;107900;"Hipotecada";10;"Médico";"A";16500;8.94;"0";0.15;"0";3
24;142000;"Própria";0;"Empreendimento";"A";7500;7.88;"0";0.05;"0";2
22;105000;"Hipotecada";6;"Educativo";"A";7500;0.0;"0";0.07;"0";2
22;78000;"Alugada";6;"Pagamento de débitos";"B";21600;11.26;"1";0.28;"0";3
23;120000;"Alugada";4;"Educativo";"D";8000;14.61;"0";0.07;"1";4
28;40800;"Hipotecada";0;"Pagamento de débitos";"A";5000;6.76;"0";0.12;"0";10
26;43000;"Alugada";2;"Médico";"B";7000;9.99;"0";0.16;"0";3
32;307000;"Própria";10;"Empreendimento";"C";11000;14.26;"0";0.04;"1";10
29;79000;"Hipotecada";1;"Pagamento de débitos";"A";7000;0.0;"0";0.09;"0";9
24;200000;"Hipotecada";3;"Empreendimento";"A";24000;7.49;"0";0.12;"0";4
25;25000;"Alugada";3;"Pessoal";"D";10000;14.11;"1";0.4;"1";2
27;72000;"Hipotecada";11;"Educativo";"C";15000;0.0;"0";0.21;"0";5
24;47000;"Alugada";3;"Pessoal";"F";24000;17.8;"1";0.51;"0";2
24;50000;"Hipotecada";8;"Educativo";"C";3000;13.47;"0";0.06;"0";2
33;35000;"Alugada";0;"Médico";"A";4000;7.88;"0";0.11;"0";5
23;83000;"Hipotecada";5;"Pagamento de débitos";"D";5000;14.61;"1";0.06;"0";2
40;233000;"Hipotecada";6;"Médico";"B";15000;11.83;"0";0.06;"0";15
29;80000;"Alugada";13;"Médico";"C";15000;13.72;"0";0.19;"1";5
26;31200;"Hipotecada";6;"Pessoal";"A";9250;7.9;"0";0.3;"0";2
22;124000;"Hipotecada";6;"Médico";"C";11000;0.0;"0";0.09;"0";3
24;114000;"Hipotecada";8;"Empreendimento";"B";4000;0.0;"0";0.04;"0";2
31;47000;"Alugada";4;"Empreendimento";"A";6000;6.99;"0";0.13;"0";7
22;26400;"Alugada";1;"Pessoal";"D";10000;16.02;"1";0.38;"0";2
24;28800;"Alugada";1;"Pagamento de débitos";"A";8500;0.0;"0";0.3;"0";2
25;75000;"Hipotecada";8;"Pagamento de débitos";"A";15000;9.63;"0";0.2;"0";3
50;0;"Hipotecada";5;"Empreendimento";"A";0;19.29;"1";0.33;"0";3
23;70000;"Alugada";2;"Pagamento de débitos";"A";10000;9.63;"0";0.14;"0";3
23;40000;"Hipotecada";6;"Pessoal";"B";7200;11.11;"0";0.18;"0";2
29;72000;"Hipotecada";6;"Educativo";"A";10800;6.99;"0";0.15;"0";8
24;46000;"Alugada";0;"Educativo";"D";5975;14.46;"1";0.13;"1";2
23;30000;"Hipotecada";0;"Pagamento de débitos";"A";6500;7.74;"0";0.22;"0";4
22;75000;"Alugada";5;"Empreendimento";"B";5000;11.49;"0";0.07;"0";3
27;45000;"Hipotecada";7;"Pessoal";"A";12000;6.91;"0";0.27;"0";8
25;50000;"Alugada";4;"Pagamento de débitos";"C";8000;13.85;"0";0.16;"0";3
24;61000;"Alugada";3;"Empreendimento";"B";12000;0.0;"0";0.2;"0";3
30;45063;"Alugada";7;"Médico";"D";7500;15.05;"1";0.17;"0";6
28;50000;"Alugada";2;"Educativo";"D";2000;16.89;"1";0.04;"0";5
25;85000;"Alugada";3;"Pagamento de débitos";"B";20000;10.25;"0";0.24;"0";3
31;10000;"Alugada";15;"Pagamento de débitos";"A";2650;7.4;"1";0.27;"0";9
27;62000;"Alugada";7;"Pagamento de débitos";"A";5000;0.0;"0";0.08;"0";5
23;75000;"Alugada";3;"Empreendimento";"A";2000;5.79;"0";0.03;"0";3
30;64000;"Alugada";8;"Pagamento de débitos";"D";16000;15.7;"1";0.25;"1";5
24;0;"Hipotecada";8;"Empreendimento";"";12800;14.74;"0";0.17;"1";6
21;46800;"Hipotecada";0;"Médico";"A";5000;7.51;"0";0.11;"0";4
37;30000;"Alugada";6;"Médico";"B";6500;10.37;"0";0.22;"0";11
37;44700;"Alugada";0;"Pagamento de débitos";"A";9000;8.59;"0";0.2;"0";16
30;90722;"Hipotecada";6;"Empreendimento";"A";10000;6.91;"0";0.11;"0";8
42;80000;"Hipotecada";8;"Pessoal";"B";5000;11.99;"0";0.06;"0";17
38;65000;"Hipotecada";5;"Educativo";"B";15000;10.36;"0";0.23;"0";17
26;55000;"Hipotecada";4;"Pessoal";"A";10000;7.51;"1";0.18;"0";2
24;68000;"Alugada";0;"Empreendimento";"A";10000;6.99;"0";0.15;"0";3
32;145000;"Alugada";2;"Pessoal";"B";8800;10.59;"0";0.06;"0";7
21;42000;"Hipotecada";6;"Educativo";"A";3500;7.51;"0";0.08;"0";2
31;33600;"Hipotecada";15;"Pessoal";"A";6500;7.14;"0";0.19;"0";8
23;16000;"Alugada";6;"Pagamento de débitos";"C";2250;13.49;"0";0.14;"0";4
34;100000;"Hipotecada";8;"Melhora do lar";"A";15000;6.17;"0";0.15;"0";10
53;45000;"Alugada";0;"Pagamento de débitos";"C";5600;13.79;"0";0.12;"1";22
23;45312;"Alugada";3;"Educativo";"A";13500;7.88;"0";0.3;"0";3
25;41000;"Hipotecada";9;"Educativo";"C";5000;11.78;"1";0.12;"1";3
26;69912;"Hipotecada";0;"Empreendimento";"A";10750;12.68;"1";0.0;"0";3
27;0;"Hipotecada";3;"Empreendimento";"B";20000;10.62;"0";0.21;"0";4
41;180000;"Alugada";16;"Pagamento de débitos";"A";14000;6.03;"0";0.08;"0";15
46;60350;"Alugada";3;"Pessoal";"A";10000;8.94;"0";0.17;"0";17
29;50400;"Alugada";6;"Pagamento de débitos";"A";7000;6.17;"0";0.14;"0";8
25;108000;"Hipotecada";0;"Melhora do lar";"B";21000;11.71;"0";0.19;"0";4
31;54000;"Alugada";2;"Pagamento de débitos";"C";5500;13.23;"0";0.1;"0";9
50;85000;"Alugada";1;"Melhora do lar";"C";17500;13.49;"0";0.21;"0";17
28;60000;"Hipotecada";4;"-";"";15000;10.37;"0";0.22;"0";3
33;68000;"Hipotecada";15;"Pessoal";"A";18000;7.9;"0";0.26;"0";10
22;51000;"Alugada";6;"Educativo";"C";7500;0.0;"0";0.15;"0";4
25;55000;"Hipotecada";9;"Empreendimento";"A";6500;7.49;"0";0.12;"0";3
24;150000;"Hipotecada";5;"Pagamento de débitos";"B";20000;10.51;"0";0.13;"0";4
54;125000;"Hipotecada";13;"Pessoal";"A";12000;6.62;"0";0.1;"0";24
35;79500;"Hipotecada";5;"Pessoal";"D";9600;14.61;"0";0.12;"1";5
26;74999;"Alugada";4;"Melhora do lar";"D";16000;17.27;"0";0.21;"1";4
24;54000;"Hipotecada";9;"-";"A";3000;14.35;"";0.12;"1";3
36;23004;"Alugada";0;"Pessoal";"B";9450;10.37;"1";0.41;"0";13
29;85500;"Hipotecada";3;"Melhora do lar";"A";9500;0.0;"0";0.11;"0";9
27;55200;"Alugada";0;"Educativo";"A";4000;6.76;"0";0.07;"0";10
30;53196;"Alugada";14;"Pessoal";"A";3000;7.66;"0";0.06;"0";5
25;115000;"Alugada";6;"Médico";"A";10000;7.29;"0";0.09;"0";4
25;150000;"Hipotecada";4;"Educativo";"A";6000;7.66;"0";0.04;"0";3
25;60000;"Alugada";1;"Educativo";"A";10000;0.0;"0";0.17;"0";4
25;36499;"Alugada";1;"Melhora do lar";"B";4200;10.99;"1";0.12;"0";4
22;28000;"Alugada";5;"Pagamento de débitos";"B";6900;9.99;"0";0.25;"0";3
28;0;"Própria";2;"-";"A";12000;14.11;"1";0.16;"1";2
21;14400;"Alugada";2;"Melhora do lar";"B";3000;9.63;"1";0.21;"0";2
24;53000;"Alugada";1;"Pagamento de débitos";"D";15000;16.77;"1";0.28;"0";2
26;74000;"Alugada";2;"Educativo";"C";8000;13.92;"0";0.11;"0";3
33;32004;"Alugada";3;"Pessoal";"A";4000;8.32;"0";0.12;"0";9
23;24000;"Própria";1;"Educativo";"B";1500;12.21;"0";0.06;"0";2
25;69000;"Alugada";3;"Pagamento de débitos";"D";10000;14.09;"1";0.14;"1";2
23;79416;"Alugada";7;"Empreendimento";"D";25000;15.21;"1";0.31;"1";2
24;48000;"Alugada";4;"Pagamento de débitos";"B";15200;11.48;"1";0.32;"0";3
35;100000;"Hipotecada";14;"Pessoal";"A";10000;6.62;"0";0.1;"0";8
48;39000;"Alugada";7;"Médico";"D";5800;14.54;"1";0.15;"0";15
26;60000;"Alugada";5;"Empreendimento";"C";3000;15.62;"0";0.05;"0";2
23;40000;"Própria";6;"Educativo";"A";3000;7.66;"0";0.07;"0";3
25;63000;"Alugada";3;"Médico";"B";20000;12.42;"1";0.32;"0";3
26;49441;"Própria";11;"Melhora do lar";"A";12000;6.99;"0";0.24;"0";4
38;74000;"Alugada";21;"Pagamento de débitos";"B";4000;11.26;"0";0.05;"0";14
25;44975;"Alugada";2;"Médico";"A";11000;6.99;"0";0.24;"0";4
24;65000;"-";3;"-";"A";13750;14.22;"0";0.46;"0";4
26;75555;"Hipotecada";4;"Médico";"B";10000;10.39;"0";0.13;"0";2
33;81804;"Hipotecada";4;"Pagamento de débitos";"A";9000;8.0;"0";0.11;"0";8
29;34000;"Própria";2;"Empreendimento";"E";14400;16.0;"0";0.42;"1";7
26;62500;"Alugada";7;"Médico";"C";12000;12.23;"0";0.19;"1";4
31;36000;"Alugada";2;"Empreendimento";"";25475;15.99;"";0.45;"1";7
29;24000;"Alugada";1;"Médico";"A";5000;6.92;"0";0.21;"0";10
33;68508;"Alugada";17;"Empreendimento";"A";7000;8.0;"0";0.1;"0";10
50;150000;"Alugada";3;"Pagamento de débitos";"A";0;11.83;"";0.19;"0";5
27;42000;"Hipotecada";4;"Pessoal";"C";2850;13.48;"1";0.07;"0";7
27;40000;"Alugada";1;"Pagamento de débitos";"B";6000;11.99;"0";0.15;"0";6
35;35000;"Hipotecada";4;"Médico";"C";5200;15.23;"0";0.15;"0";6
26;155142;"Hipotecada";6;"Pessoal";"D";23000;18.25;"0";0.15;"0";2
34;160000;"Hipotecada";1;"Melhora do lar";"A";23000;6.91;"0";0.14;"0";10
26;43000;"Alugada";4;"Educativo";"C";10000;14.65;"0";0.23;"0";4
25;103500;"Hipotecada";0;"Pessoal";"A";7500;6.54;"0";0.07;"0";3
26;34988;"Alugada";9;"Melhora do lar";"C";15000;13.98;"1";0.43;"0";2
24;67000;"Própria";2;"Médico";"B";16000;12.69;"0";0.24;"0";2
24;38400;"Alugada";8;"Pessoal";"E";3000;17.56;"0";0.08;"1";2
24;37000;"Alugada";2;"Pessoal";"B";7000;9.99;"0";0.19;"0";2
22;40000;"Alugada";0;"Pessoal";"A";4000;7.43;"0";0.1;"0";4
28;35000;"Alugada";5;"Médico";"D";10000;14.61;"0";0.29;"0";7
23;25000;"Alugada";3;"Médico";"B";5600;11.11;"0";0.22;"0";4
0;116000;"Hipotecada";3;"Pagamento de débitos";"B";12000;0.0;"1";0.1;"0";7
32;59500;"Alugada";3;"Educativo";"D";6000;13.36;"0";0.1;"1";8
32;78000;"Alugada";0;"Educativo";"C";13000;12.87;"0";0.17;"1";10
28;53000;"Alugada";0;"Médico";"C";12000;14.72;"0";0.23;"0";8
27;33600;"Alugada";4;"Pessoal";"B";3200;11.99;"0";0.1;"0";9
22;50000;"Alugada";6;"Educativo";"D";11400;17.58;"0";0.23;"1";4
24;30000;"Alugada";5;"Médico";"G";2000;21.27;"1";0.07;"1";3
25;23000;"Alugada";0;"Educativo";"C";2100;13.48;"0";0.09;"1";4
25;78000;"Alugada";6;"Melhora do lar";"B";12000;12.53;"0";0.15;"0";2
0;67000;"-";6;"Melhora do lar";"A";7000;7.49;"0";0.14;"0";6
25;42000;"Alugada";6;"Médico";"A";5600;7.49;"0";0.13;"0";2
25;89000;"Alugada";4;"Educativo";"B";7000;10.99;"0";0.08;"0";3
35;65004;"Alugada";2;"Pagamento de débitos";"A";6000;7.29;"0";0.09;"0";10
23;30000;"Hipotecada";6;"Educativo";"A";10000;7.66;"0";0.33;"0";3
21;37000;"Alugada";0;"Educativo";"A";3000;6.39;"0";0.08;"0";3
21;38000;"Alugada";3;"Pessoal";"B";10000;12.18;"0";0.26;"0";3
35;60000;"Própria";9;"Pessoal";"B";24000;12.53;"0";0.4;"0";9
23;72000;"Alugada";3;"Pessoal";"A";10000;6.91;"0";0.14;"0";2
26;42000;"Alugada";3;"Empreendimento";"A";12000;8.49;"0";0.29;"0";3
26;44000;"Alugada";10;"Pagamento de débitos";"D";14000;14.83;"1";0.32;"0";2
27;54000;"Hipotecada";1;"Melhora do lar";"B";27575;0.0;"0";0.51;"0";10
24;43590;"Hipotecada";8;"Médico";"B";8000;11.83;"1";0.18;"0";3
23;20124;"Alugada";0;"Pagamento de débitos";"C";5950;13.49;"0";0.3;"1";3
31;94350;"Hipotecada";5;"Médico";"D";15000;15.37;"1";0.14;"0";8
25;40000;"Alugada";2;"Pagamento de débitos";"B";5600;0.0;"0";0.14;"0";3
33;135000;"Própria";0;"Melhora do lar";"A";6275;6.91;"0";0.05;"0";7
40;62540;"Hipotecada";5;"Médico";"F";7500;19.04;"1";0.1;"1";12
21;95000;"-";5;"Empreendimento";"A";15000;10.99;"0";0.13;"0";6
37;65000;"Hipotecada";12;"Pessoal";"B";11000;9.91;"0";0.17;"0";16
27;130000;"Hipotecada";3;"Empreendimento";"B";24000;10.99;"0";0.18;"0";10
25;0;"Hipotecada";9;"Médico";"C";20050;0.0;"1";0.33;"1";10
32;55600;"Própria";14;"Educativo";"B";8800;9.99;"0";0.16;"0";6
22;28800;"Própria";2;"Pagamento de débitos";"D";10000;16.49;"0";0.35;"0";4
29;50000;"Alugada";2;"Pagamento de débitos";"B";10000;11.26;"0";0.2;"0";6
23;40000;"Alugada";0;"Educativo";"B";5000;12.42;"0";0.13;"0";4
32;128004;"Própria";0;"Empreendimento";"A";11000;0.0;"0";0.09;"0";8
22;30000;"Hipotecada";4;"Educativo";"B";5000;11.89;"1";0.17;"0";4
22;36000;"Hipotecada";0;"Educativo";"B";12375;0.0;"0";0.34;"0";3
27;100000;"Alugada";0;"Empreendimento";"B";15000;11.58;"0";0.15;"0";10
32;103000;"Hipotecada";0;"Pessoal";"E";33000;18.64;"1";0.32;"0";6
32;65000;"Hipotecada";6;"Pessoal";"B";5600;11.58;"0";0.09;"0";5
22;48000;"Hipotecada";6;"Educativo";"A";9925;9.63;"0";0.21;"0";2
49;120000;"Hipotecada";12;"Médico";"B";12000;10.99;"0";0.1;"0";12
21;32000;"Hipotecada";5;"Pagamento de débitos";"B";4200;11.58;"0";0.13;"0";2
28;94773;"Alugada";3;"Melhora do lar";"B";6000;11.83;"0";0.06;"0";10
28;30996;"Alugada";7;"Médico";"B";4000;10.65;"0";0.13;"0";5
47;18000;"Alugada";0;"Melhora do lar";"D";1000;14.84;"1";0.06;"1";16
28;0;"Alugada";7;"Educativo";"A";20000;10.62;"0";0.0;"0";4
23;55000;"Alugada";4;"Educativo";"B";8000;9.25;"0";0.15;"0";2
27;157544;"Hipotecada";8;"Empreendimento";"C";35000;12.99;"0";0.22;"0";8
34;52809;"Alugada";18;"Pagamento de débitos";"B";13000;10.62;"0";0.25;"0";8
22;56902;"Hipotecada";6;"Pagamento de débitos";"A";12000;7.14;"0";0.21;"0";4
34;57912;"Hipotecada";7;"Empreendimento";"A";5600;5.42;"0";0.1;"0";8
41;42000;"Alugada";0;"Empreendimento";"C";4000;13.43;"0";0.1;"0";14
58;780000;"Hipotecada";7;"Pessoal";"A";4500;6.91;"0";0.01;"0";19
35;125000;"Alugada";6;"Pagamento de débitos";"C";7000;13.06;"0";0.06;"1";5
28;35600;"Alugada";3;"Educativo";"A";4000;7.49;"0";0.11;"0";6
22;95000;"Hipotecada";2;"Pagamento de débitos";"A";24000;7.9;"0";0.25;"0";4
30;29120;"Alugada";0;"Pagamento de débitos";"A";5400;7.14;"0";0.19;"0";10
31;128000;"Alugada";1;"Pessoal";"E";9600;0.0;"1";0.07;"1";8
47;45000;"Própria";10;"Médico";"A";11200;6.62;"0";0.25;"0";12
24;32000;"Hipotecada";5;"Melhora do lar";"A";6000;5.42;"0";0.19;"0";4
41;34800;"Alugada";4;"Pagamento de débitos";"B";5000;11.99;"0";0.14;"0";14
46;82359;"Hipotecada";6;"Pessoal";"A";6600;7.66;"0";0.08;"0";13
22;29654;"Alugada";3;"Educativo";"C";7000;14.22;"1";0.24;"0";3
30;144997;"Hipotecada";14;"Pessoal";"B";25000;11.83;"0";0.17;"0";5
